platform,globalsale,year,id
GG,0,2017,GG-2017
GG,0,2018,GG-2018
GG,0,2019,GG-2019
GG,0,2020,GG-2020
PC,0,1985,PC-1985
PC,0,1986,PC-1986
PC,0,1987,PC-1987
PC,0,1988,PC-1988
PC,0,1989,PC-1989
PC,0,1990,PC-1990
PC,0,1991,PC-1991
PCFX,0.03,1996,PCFX-1996
PCFX,0,1997,PCFX-1997
PCFX,0,1998,PCFX-1998
PCFX,0,1999,PCFX-1999
PCFX,0,2000,PCFX-2000
PCFX,0,2001,PCFX-2001
PCFX,0,2002,PCFX-2002
PCFX,0,2003,PCFX-2003
PCFX,0,2004,PCFX-2004
PCFX,0,2005,PCFX-2005
PCFX,0,2006,PCFX-2006
PCFX,0,2007,PCFX-2007
PCFX,0,2008,PCFX-2008
PCFX,0,2009,PCFX-2009
PCFX,0,2010,PCFX-2010
PCFX,0,2011,PCFX-2011
PCFX,0,2012,PCFX-2012
PCFX,0,2013,PCFX-2013
PCFX,0,2014,PCFX-2014
PCFX,0,2015,PCFX-2015
PCFX,0,2016,PCFX-2016
PCFX,0,2017,PCFX-2017
PCFX,0,2018,PCFX-2018
PCFX,0,2019,PCFX-2019
PCFX,0,2020,PCFX-2020
3DO,0.02,1994,3DO-1994
DS,0,1985,DS-1985
DS,0,1986,DS-1986
DS,0,1987,DS-1987
DS,0,1988,DS-1988
DS,0,1989,DS-1989
DS,0,1990,DS-1990
DS,0,1991,DS-1991
DS,0,1992,DS-1992
DS,0,1993,DS-1993
DS,0,1994,DS-1994
DS,0,1995,DS-1995
DS,0,1996,DS-1996
DS,0,1997,DS-1997
DS,0,1998,DS-1998
DS,0,1999,DS-1999
DS,0,2000,DS-2000
DS,0,2001,DS-2001
DS,0,2002,DS-2002
DS,0,2003,DS-2003
